ev fond sig
400.0 1250.0 1250.0
401.0 1246.8827930174564 1246.8827930174564
402.0 1243.7810945273632 1243.7810945273632
403.0 1240.6947890818858 1240.6947890818858
404.0 1237.6237623762377 1237.6237623762377
405.0 1234.567901234568 1234.567901234568
406.0 1231.527093596059 1231.527093596059
407.0 1228.5012285012285 1228.5012285012285
408.0 1225.4901960784314 1225.4901960784314
409.0 1222.4938875305625 1222.4938875305625
410.0 1219.5121951219512 1219.5121951219512
411.0 1216.54501216545 1216.54501216545
412.0 1213.5922330097087 1213.5922330097087
413.0 1210.6537530266344 1210.6537530266344
414.0 1207.729468599034 1207.729468599034
415.0 1204.8192771084337 1204.8192771084337
416.0 1201.923076923077 1201.923076923077
417.0 1199.0407673860911 1199.0407673860911
418.0 1196.1722488038276 1196.1722488038276
419.0 1193.3174224343675 1193.3174224343675
420.0 1190.4761904761904 1190.4761904761904
421.0 1187.648456057007 1187.648456057007
422.0 1184.8341232227488 1184.8341232227488
423.0 1182.033096926714 1182.033096926714
424.0 1179.245283018868 1179.245283018868
425.0 1176.4705882352941 1176.4705882352941
426.0 1173.7089201877934 1173.7089201877934
427.0 1170.96018735363 1170.96018735363
428.0 1168.2242990654206 1168.2242990654206
429.0 1165.5011655011656 1165.5011655011656
430.0 1162.7906976744187 1162.7906976744187
431.0 1160.092807424594 1160.092807424594
432.0 1157.4074074074074 1157.4074074074074
433.0 1154.7344110854503 1154.7344110854503
434.0 1152.073732718894 1152.073732718894
435.0 1149.4252873563219 1149.4252873563219
436.0 1146.788990825688 1146.788990825688
437.0 1144.1647597254005 1144.1647597254005
438.0 1141.552511415525 1141.552511415525
439.0 1138.9521640091116 1138.9521640091116
440.0 1136.3636363636363 1136.3636363636363
441.0 1133.7868480725624 1133.7868480725624
442.0 1131.2217194570135 1131.2217194570135
443.0 1128.6681715575621 1128.6681715575621
444.0 1126.126126126126 1126.126126126126
445.0 1123.5955056179776 1123.5955056179776
446.0 1121.0762331838564 1121.0762331838564
447.0 1118.5682326621925 1118.5682326621925
448.0 1116.0714285714287 1116.0714285714287
449.0 1113.5857461024498 1113.5857461024498
450.0 1111.111111111111 1111.111111111111
451.0 1108.6474501108648 1108.6474501108648
452.0 1106.1946902654868 1106.1946902654868
453.0 1103.7527593818984 1103.7527593818984
454.0 1101.3215859030836 1101.3215859030836
455.0 1098.901098901099 1098.901098901099
456.0 1096.4912280701753 1096.4912280701753
457.0 1094.0919037199126 1094.0919037199126
458.0 1091.703056768559 1091.7030567685592
459.0 1089.3246187363834 1089.324618736384
460.0 1086.9565217391305 1086.956521739134
461.0 1084.5986984815618 1084.5986984815786
462.0 1082.2510822510822 1082.2510822511613
463.0 1079.913606911447 1079.9136069118013
464.0 1077.5862068965516 1077.5862068980775
465.0 1075.268817204301 1075.2688172106157
466.0 1072.961373390558 1072.9613734156655
467.0 1070.6638115631692 1070.6638116590875
468.0 1068.3760683760684 1068.3760687281444
469.0 1066.0980810234541 1066.0980822651304
470.0 1063.8297872340424 1063.8297914414873
471.0 1061.5711252653928 1061.5711389637206
472.0 1059.322033898305 1059.3220767488956
473.0 1057.0824524312895 1057.0825812228336
474.0 1054.8523206751054 1054.8526926045045
475.0 1052.6315789473683 1052.6326109428646
476.0 1050.420168067227 1050.4229193863005
477.0 1048.2180293501049 1048.2250771239567
478.0 1046.0251046025105 1046.0424511513895
479.0 1043.8413361169103 1043.8823590741927
480.0 1041.6666666666667 1041.7598839965583
481.0 1039.5010395010395 1039.7045682358573
482.0 1037.344398340249 1037.7713889940733
483.0 1035.1966873706003 1036.0574422600655
484.0 1033.0578512396694 1034.7251559167391
485.0 1030.9278350515465 1034.0311921818834
486.0 1028.80658436214 1034.3571627649917
487.0 1026.694045174538 1036.233961267086
488.0 1024.5901639344263 1040.3467830305317
489.0 1022.4948875255624 1047.5046076061312
490.0 1020.4081632653061 1058.558702254283
491.0 1018.3299389002036 1074.2621469655307
492.0 1016.260162601626 1095.0775695452003
493.0 1014.1987829614604 1120.9612640609569
494.0 1012.1457489878543 1151.1728917163034
495.0 1010.10101010101 1184.172385691626
496.0 1008.0645161290323 1217.6609116173152
497.0 1006.0362173038229 1248.7964450205375
498.0 1004.0160642570281 1274.5702455473656
499.0 1002.0040080160321 1292.2803893121052
500.0 1000.0 1300.0
501.0 998.003992015968 1296.9268870690341
502.0 996.01593625498 1283.5252166300802
503.0 994.0357852882704 1261.4229456140679
504.0 992.063492063492 1233.0938440699497
505.0 990.0990099009902 1201.4079941536288
506.0 988.1422924901186 1169.161834830745
507.0 986.1932938856016 1138.6914121595958
508.0 984.2519685039371 1111.6367254439233
509.0 982.3182711198428 1088.876262554669
510.0 980.3921568627451 1070.6063178210115
511.0 978.4735812133073 1056.5120161105854
512.0 976.5625 1045.9702969952402
513.0 974.6588693957115 1038.235746794763
514.0 972.7626459143969 1032.5799373721109
515.0 970.8737864077669 1028.3753364801078
516.0 968.9922480620155 1025.1300467822216
517.0 967.1179883945841 1022.4874419096118
518.0 965.2509652509652 1020.2060531494997
519.0 963.3911368015414 1018.1322275679311
520.0 961.5384615384615 1016.173678369244
521.0 959.6928982725528 1014.2779198753971
522.0 957.8544061302682 1012.4166167652663
523.0 956.0229445506692 1010.5752164203717
524.0 954.1984732824427 1008.7465926020815
525.0 952.3809523809524 1006.9274076508227
526.0 950.5703422053232 1005.1161578098936
527.0 948.7666034155598 1003.3121831176003
528.0 946.969696969697 1001.5151931965503
529.0 945.179584120983 999.7250520030477
530.0 943.3962264150944 997.9416850603659
531.0 941.6195856873823 996.1650414437149
532.0 939.8496240601504 994.3950789492059
533.0 938.0863039399625 992.6317585790928
534.0 936.3295880149813 990.8750425849727
535.0 934.5794392523364 989.124893803966
536.0 932.8358208955224 987.3812754424699
537.0 931.0986964618249 985.6441510076263
538.0 929.368029739777 983.9134842853089
539.0 927.643784786642 982.1892393321131
540.0 925.925925925926 980.4713804713839
541.0 924.2144177449168 978.759872290372
542.0 922.509225092251 977.0546796377057
543.0 920.8103130755064 975.3557676209609
544.0 919.1176470588235 973.663101604278
545.0 917.4311926605504 971.9766472060049
546.0 915.7509157509157 970.2963702963702
547.0 914.0767824497258 968.6222369951803
548.0 912.4087591240876 966.9542136695421
549.0 910.7468123861566 965.2922669316112
550.0 909.0909090909091 963.6363636363636
551.0 907.4410163339383 961.9864708793928
552.0 905.7971014492754 960.3425559947299
553.0 904.1591320072333 958.7045865526878
554.0 902.5270758122743 957.0725303577289
555.0 900.9009009009009 955.4463554463554
556.0 899.2805755395683 953.8260300850228
557.0 897.6660682226212 952.2115227680757
558.0 896.0573476702509 950.6028022157054
559.0 894.4543828264758 948.9998373719303
