db20 dct db10 fourier sym10 rTab db3 sym3 sym20
1.0 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0
0.9846090731229814 0.014400422306510244 0.9783970129168019 0.037596084366565384 0.9696531939405378 0.001 0.5354728694676621 0.5354728694709395 0.9823600499693544
0.9744851011184519 0.010389143252638485 0.9549369800961441 0.02383681642374803 0.9190660180555716 0.002 0.36525162757623514 0.3652516275757268 0.9684277802723924
0.9658842410121119 0.008883867440237765 0.9275649534213138 0.018037480550970073 0.8607442347352648 0.003 0.19762221655731727 0.1976222165578962 0.9584471605359073
0.9521363037525603 0.008006113120894777 0.8973762437487856 0.01492350032887937 0.8095066027496568 0.004 0.05924454438092942 0.05924454438095487 0.9460242584330028
0.9434709387929833 0.007403651949668585 0.8661166631711328 0.013162780454596797 0.7615602920741495 0.005 0.04745436655179282 0.047454366551765784 0.9357368705764367
0.9311888003325459 0.00696854567864874 0.8458991501079148 0.011651202196675868 0.7239169466325324 0.006 0.037291515362747434 0.03729151536283752 0.9218586056945335
0.918111114215409 0.006655327928288976 0.8272255022648952 0.010534150884955578 0.6903550417362889 0.007 0.032823947961236596 0.03282394796123368 0.9122529068173636
0.9036135112704802 0.006388563546525955 0.8060662776109021 0.009691942379151252 0.6629995289450563 0.008 0.03082942359244583 0.03082942359244712 0.8970601675542239
0.8878563344033653 0.006171075373115062 0.7909550445912672 0.009065810289395366 0.6441565839650074 0.009000000000000001 0.028981319904911356 0.028981319904934678 0.8859830176195259
0.8741660602413499 0.005985473814091009 0.7724171160388837 0.008482890354812977 0.6140073714349149 0.01 0.027582602478045806 0.02758260247807578 0.8724031781781241
0.8587605277356843 0.005827576236146155 0.7464625703607806 0.007974967070024935 0.5789746317060271 0.011 0.026301949310183603 0.026301949310230686 0.858893937014717
0.8459065321918416 0.005693344694616693 0.7040221932578682 0.007544964639594455 0.541189343739393 0.012 0.025278006929884543 0.025278006929920653 0.8477661826807846
0.8361484355950751 0.005570860421048252 0.6656804704280387 0.007142871442804622 0.5155610313335887 0.013000000000000001 0.024568395973156843 0.024568395973188613 0.8341385584257343
0.8286898048084407 0.005464159019009623 0.6353052477206623 0.0068312451487317445 0.49114012630152976 0.014 0.02373112650285467 0.023731126502879375 0.8222096310360679
0.8202886708506489 0.0053677643247902395 0.616558323958503 0.006563825479600287 0.442830172801932 0.015 0.023102967838459266 0.023102967838474393 0.8100308628949651
0.8103678953360676 0.005280840938900688 0.6013952203508434 0.006374052610787065 0.40654745093811345 0.016 0.022510462840552574 0.02251046284056057 0.7947612243556021
0.8012652528154975 0.0051998533488875065 0.5671870238861626 0.006201134697011667 0.3776642584252518 0.017 0.021962307306371002 0.02196230730637195 0.7838262164968214
0.7894260614129475 0.005123877475304332 0.5297234334412745 0.006046397085118951 0.3602568674504699 0.018000000000000002 0.02130443814990033 0.021304438149893305 0.7691191033731699
0.7802823936084642 0.005057839244522951 0.5220098950231121 0.005927612160580848 0.3423667897998446 0.019 0.020818475849291793 0.020818475849286627 0.7566078407110466
0.7725480711213464 0.004996409675099759 0.5010268666640206 0.005829735410120395 0.3250137144957623 0.02 0.020287407207790934 0.020287407207786476 0.7485736610826926
0.7636346943549216 0.00493988977178806 0.4486414756787416 0.0057316631555356405 0.30553073723371627 0.021 0.019833498145384966 0.01983349814538463 0.7363744945993822
0.7564248471811131 0.004887174421896633 0.4035095439955716 0.0056505539662326 0.2922891178513931 0.022 0.01936353987580606 0.019363539875809948 0.7248665216331035
0.7520329728765844 0.004835900592705699 0.3763854531183156 0.005567917210046875 0.2770467129204987 0.023 0.019023923760499873 0.019023923760506895 0.7144413714424871
0.7410338401880497 0.00479013493916638 0.35740488796399633 0.005500846145716211 0.25956277833945285 0.024 0.01863989334750039 0.01863989334751191 0.7045200072588685
0.7279959310761781 0.004746102296106433 0.3436558178268926 0.005433908201804185 0.24390644258198765 0.025 0.018288866709397528 0.018288866709412873 0.6956290264714726
0.7144800978950908 0.004703758414588858 0.32702593131983343 0.005374537644839963 0.22607180449188546 0.026000000000000002 0.017943318865590353 0.01794331886560291 0.6867351881247651
0.7084942332719524 0.004663816003978307 0.31030545034188217 0.005316862802671935 0.21423104653657193 0.027 0.017571383450032063 0.01757138345004602 0.6783916712489522
0.6983642517235137 0.004624432558987333 0.2968438722287472 0.005260516791511871 0.2018680906887725 0.028 0.017227248420495694 0.01722724842051433 0.6676056087458231
0.6930406768514311 0.004589252509074866 0.2832593343996087 0.005209987584188774 0.18876046523531204 0.029 0.01687747183430218 0.01687747183432133 0.6560671703246909
0.6840113686798278 0.004555817923397041 0.2674087268904829 0.00516317976681274 0.17601547288267042 0.03 0.016582471479611314 0.01658247147963012 0.6454940474167866
0.6772084483674502 0.004523545048309388 0.2511109518586218 0.005113817908159995 0.162216084686053 0.031 0.016322731496541315 0.01632273149655794 0.6347061490683528
0.6653988582808287 0.004492437821720512 0.2356985355609314 0.005070346590858589 0.15060539147791308 0.032 0.01603241703223647 0.016032417032256358 0.6265230888078084
0.6544814584937605 0.004461221038601145 0.21950819448180645 0.0050226775424584025 0.13729244299076054 0.033 0.015771771112997622 0.015771771113014997 0.6149015090528516
0.6454599598945101 0.00443242544897379 0.20471067505361873 0.004982000410532199 0.12492485052833914 0.034 0.015544384301990137 0.015544384302009683 0.6023357049617962
0.6336292686920716 0.00440447628676242 0.19147777618100079 0.004943801522214061 0.11354250248120698 0.035 0.015285446432739458 0.015285446432759269 0.5882183158277609
