fourier db20 rTab db10 sym10 db3 sym20 dct sym3
1.0 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0
0.2852157046358558 0.9918684578604331 0.001 0.9786615629443081 0.9805972317258207 0.9923983135895511 0.9918684578604331 0.17742894535210374 0.9923983135911638
0.21326255567734198 0.9849874891160308 0.002 0.9627237574612298 0.9632284964564197 0.9002666852117786 0.9849874891160308 0.1156399478936692 0.9002666852145194
0.16959296932098294 0.978628016571223 0.003 0.9537783249442611 0.9421443490544982 0.8074137612323358 0.978628016571223 0.09026760546374028 0.8074137612356295
0.14350069174870997 0.9725043764384174 0.004 0.9432665360054023 0.9293728127918233 0.7329108617402347 0.9725043764384174 0.07671528731663683 0.7329108617440266
0.11938953287890139 0.9665644936681512 0.005 0.9310942571379162 0.9135560167530103 0.6797286710958392 0.9665644936681512 0.06935516251551754 0.679728671099259
0.10426387400397163 0.9608663967844928 0.006 0.9226607702215176 0.8978161994566638 0.6416422511744078 0.9608663967844928 0.06398368499289102 0.6416422511775486
0.09431803133152553 0.9552801216286022 0.007 0.9035145542695047 0.8860169901922259 0.593139380312147 0.9552801216286022 0.05980713124770147 0.5931393803148356
0.08732689564747874 0.9490228135003317 0.008 0.8940256478578137 0.8713601953545573 0.49920816437283494 0.9490228135003317 0.05570544300387492 0.49920816437420673
0.08041576738702222 0.943619807003239 0.009000000000000001 0.8790853136794783 0.8549296439412085 0.45172547056355916 0.943619807003239 0.05276815095746646 0.4517254705640345
0.07563739458250712 0.9383346861633731 0.01 0.8651886402286529 0.8406254180040247 0.4106402403394106 0.9383346861633731 0.050122991751351154 0.4106402403400041
0.07201623633708074 0.9331412827390158 0.011 0.8555234389781661 0.8296968598286281 0.38635126595919933 0.9331412827390158 0.047919364840781645 0.3863512659598527
0.06928181636906963 0.9280440315743612 0.012 0.8401165204889468 0.8145347460733359 0.3594038958771231 0.9280440315743612 0.04609269365719413 0.3594038958776975
0.06630534409840784 0.9230102839133655 0.013000000000000001 0.8355223056741649 0.8002520659616884 0.34341680870174157 0.9230102839133655 0.044482103964662977 0.3434168087024592
0.0641751379769604 0.9180116250434068 0.014 0.8200030236416566 0.7909738877444356 0.3333821128650364 0.9180116250434068 0.04303254800181746 0.33338211286591646
0.06159946990991398 0.913044898564663 0.015 0.8126738555397008 0.7758310900167615 0.3088442863448659 0.913044898564663 0.04173886269191699 0.30884428634598726
0.05993144577122374 0.908132847300242 0.016 0.8062101269316653 0.7643514253613625 0.28778912512336424 0.908132847300242 0.04051393586585937 0.2877891251244974
0.05783702464441204 0.9032845058197367 0.017 0.7936128175553462 0.7510804189876659 0.26033365467234926 0.9032845058197367 0.03939407036153167 0.2603336546733236
0.056095459435547224 0.8984629907731252 0.018000000000000002 0.7815251008568411 0.7365000862180275 0.22780964617247712 0.8984629907731252 0.038380563355126074 0.22780964617314725
0.05472950421475021 0.8936769919533745 0.019 0.773891303058485 0.726890729836842 0.2111633569907763 0.8936769919533745 0.037483776557278733 0.21116335699141228
0.05324699789862111 0.8889489200620336 0.02 0.7606289384732471 0.7136452703617109 0.19914714803265154 0.8889489200620336 0.03662900375825905 0.1991471480331941
0.05203420318207331 0.8842683394820097 0.021 0.755425424644479 0.6985867173022576 0.1871520093273247 0.8842683394820097 0.03581079064409137 0.18715200932773812
0.05078188657897215 0.8796254939828161 0.022 0.7428322835303163 0.6857680251243291 0.1814076203841509 0.8796254939828161 0.03502837381213001 0.18140762038445604
0.04938977175336485 0.8743785247934336 0.023 0.7358329383270866 0.6718180250528342 0.173917599251635 0.8743785247934336 0.03418025186638363 0.17391759925190564
0.04814285189235332 0.8698102383651775 0.024 0.7253876748053564 0.6608835330915386 0.1674464468255867 0.8698102383651775 0.03347452899057975 0.16744644682578927
0.047100586211360485 0.8652801396247506 0.025 0.7185936380054877 0.6553394037706622 0.16365550797223033 0.8652801396247506 0.03280356433342079 0.16365550797234157
0.04616123498256884 0.8607792583792818 0.026000000000000002 0.7068847670305084 0.6421495317750888 0.15729521262816296 0.8607792583792818 0.032172162399310526 0.15729521262827212
0.04495156029433551 0.8563105077831945 0.027 0.6954078643098133 0.63374945451028 0.15114603151397765 0.8563105077831945 0.031575420179676364 0.15114603151409375
0.044084969719452485 0.8518777673284986 0.028 0.6828298338910198 0.6246221430738681 0.14677643637684076 0.8518777673284986 0.03100412562708305 0.14677643637695145
0.04297724488596543 0.8474784278217155 0.029 0.6771497688682268 0.6140127432160581 0.14133618103316908 0.8474784278217155 0.03046035372924733 0.14133618103326584
0.041967342536345535 0.8431049896616948 0.03 0.6693342604398244 0.604573899331466 0.13622579232274193 0.8431049896616948 0.029957174062870802 0.13622579232284154
0.04112190708745287 0.8387758344981747 0.031 0.6652820724203753 0.598698374656326 0.13322794213904798 0.8387758344981747 0.029491687829011046 0.1332279421391628
0.04036954832361678 0.8344692405706039 0.032 0.6521263783544488 0.5913234203674397 0.12945421111510924 0.8344692405706039 0.02904312604194807 0.12945421111519656
0.03937909793508976 0.8301979311387822 0.033 0.6444459120332301 0.5842730347659546 0.12728498904623453 0.8301979311387822 0.02862934922898262 0.12728498904633997
0.03865360658204972 0.8259640316153335 0.034 0.6372799171822295 0.5783838086537074 0.1247814486462441 0.8259640316153335 0.028233900070684624 0.12478144864633528
0.03772314477765972 0.8217536431712406 0.035 0.6277072212373697 0.5731490505254846 0.12092062620062694 0.8217536431712406 0.02784790251578445 0.12092062620070068
