fourier db20 rTab db10 sym10 db3 sym20 dct sym3
1.0 1.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0
0.19728222310348914 0.9924589143058832 0.001 0.9641321014754966 0.956603625388699 0.962375763111692 0.9924589143058832 0.1006517748120851 0.9623757631114838
0.10192491117781179 0.9841899453677692 0.002 0.9333724817941391 0.9156257803086267 0.9352507612338954 0.9841899453677692 0.051222852914942885 0.9352507612338383
0.0714365973321722 0.9770630545347616 0.003 0.909714941217327 0.8875298071371764 0.8859410072173843 0.9770630545347616 0.035311073715753455 0.8859410072179575
0.050773240699523214 0.9693121662580549 0.004 0.8987876551889614 0.8684622664073047 0.8317294438292605 0.9693121662580549 0.024923651340162285 0.8317294438301033
0.037141432649548015 0.9629097690437679 0.005 0.8959484388638735 0.8509290390822644 0.7847207003873398 0.9629097690437679 0.01848493440559068 0.7847207003883072
0.02915280804014651 0.9567009347003945 0.006 0.8942718778789944 0.8401743135777409 0.7354976201909367 0.9567009347003945 0.015225954671069693 0.7354976201916604
0.023179931797155183 0.9500270263906924 0.007 0.8855710210674964 0.8272524222697683 0.6965027247661002 0.9500270263906924 0.012629574440564062 0.6965027247664911
0.01883055030105988 0.9443450685987133 0.008 0.8677088557841492 0.8135933529570868 0.6676301190190741 0.9443450685987133 0.010719083046814412 0.6676301190189315
0.016552582636213023 0.9388417053288817 0.009000000000000001 0.8614754241823076 0.8061499691515246 0.6671204699365231 0.9388417053288817 0.00902896073654118 0.6671204699363537
0.014904091032644552 0.9328951091270121 0.01 0.8522720656948698 0.8012214341377942 0.667457633191661 0.9328951091270121 0.0077682775788868305 0.6674576331914993
0.013569485940144335 0.9277965543185717 0.011 0.8387466935653675 0.7973273696329881 0.6672177352323465 0.9277965543185717 0.006664638513351877 0.6672177352321762
0.012145525543816867 0.9222113405254089 0.012 0.829926942423675 0.7886384813930736 0.663119801004367 0.9222113405254089 0.005623362756588377 0.6631198010041777
0.011196414587482491 0.9174873854977685 0.013000000000000001 0.8168798777578056 0.7803474334748345 0.6473186478734019 0.9174873854977685 0.004879208208043844 0.6473186478732009
0.0104101270466465 0.9122713942560748 0.014 0.802756172932544 0.7722732352676009 0.6251559825360034 0.9122713942560748 0.004273677375103818 0.6251559825358272
0.00973824909580263 0.9077662613003369 0.015 0.78941028659371 0.7621872198991593 0.5860244571706751 0.9077662613003369 0.003801156094327051 0.5860244571708769
0.009090365572654031 0.903457573535266 0.016 0.778113806494605 0.7535109830687474 0.5540182240340673 0.903457573535266 0.0033629751196197467 0.5540182240344206
0.008377396661159489 0.8986921306663515 0.017 0.7662368801145775 0.7439934932550967 0.5169034810345374 0.8986921306663515 0.0029580631156425636 0.5169034810350538
0.00782182605200615 0.8945608340298015 0.018000000000000002 0.7531773168954895 0.7356785615801754 0.484249094181482 0.8945608340298015 0.0026545034586928583 0.48424909418190104
0.007278336511672088 0.890020876112439 0.019 0.7431639169854032 0.7235225888783968 0.4547989304501851 0.890020876112439 0.002353631314718112 0.4547989304503303
0.006801226825120118 0.8860302901208256 0.02 0.7362844441319953 0.712677310227507 0.4295612963881986 0.8860302901208256 0.0021269316768128413 0.4295612963880417
0.006354548715192228 0.8821052652527248 0.021 0.7318504524283317 0.7049436356995974 0.42229308885375505 0.8821052652527248 0.0019419626940074995 0.422293088853497
0.0058454759021110934 0.8777937795667058 0.022 0.7246283839832082 0.6954327254035574 0.4216977147497527 0.8777937795667058 0.00176263978359036 0.42169771474947315
0.005438259971452176 0.874033832394858 0.023 0.7184477556170642 0.6861154504475816 0.40016998115806623 0.874033832394858 0.001630705659121358 0.40016998115769636
0.005036179437837592 0.86989327105533 0.024 0.7100759092493458 0.6778339295737443 0.3787547988664972 0.86989327105533 0.0014989399795890305 0.37875479886615815
0.004685124878765455 0.8663272987443553 0.025 0.7020626260858432 0.6668513677299654 0.3751944187913556 0.8663272987443553 0.0013983543202753226 0.3751944187909726
0.004364628904765579 0.862851418030483 0.026000000000000002 0.6940520781011785 0.6592646766153296 0.3658786747917168 0.862851418030483 0.0013057948661613578 0.3658786747913944
0.004011504731707416 0.8590272587060916 0.027 0.6885478388089864 0.6515581005703808 0.35390806970216865 0.8590272587060916 0.00121447395644856 0.353908069701904
0.003735386482216401 0.8556565692360296 0.028 0.6802010421549403 0.6448748165139888 0.3465273136244321 0.8556565692360296 0.0011422846241859927 0.3465273136240696
0.003453730552178133 0.8519027513632251 0.029 0.6741703125653447 0.6382676498048737 0.33222932542544825 0.8519027513632251 0.0010676582045114345 0.33222932542479466
0.003228318121618111 0.8486097850939963 0.03 0.6644085276415476 0.6305840657389854 0.3260050595972253 0.8486097850939963 0.0010077006396917562 0.3260050595965454
0.0029562410955705377 0.8453647963398964 0.031 0.6582465068710107 0.6242978572879061 0.3204771416309164 0.8453647963398964 0.0009534608492358117 0.3204771416302349
0.0027524711932124047 0.8417666890727232 0.032 0.6524955379866922 0.6183201235882974 0.31420009046454367 0.8417666890727232 0.0008977048240273604 0.3142000904638373
0.002576588764463936 0.8386072828484261 0.033 0.6471192222762749 0.6137581328272358 0.30492836061543405 0.8386072828484261 0.0008536883877194167 0.3049283606147236
0.002378668871208627 0.8350735429713217 0.034 0.644493476774326 0.6091683832785775 0.2978651983053791 0.8350735429713217 0.0008079357294668996 0.29786519830466096
0.002224370475472344 0.831947352299536 0.035 0.6392203880580938 0.6042538210561953 0.2911893753890054 0.831947352299536 0.0007706466779950945 0.29118937538828943
