w x
0.0017401562026703892 1.0
0.09635274009250172 2.0
0.3557365549166999 3.0
0.3629399399647894 4.0
0.37355238295127413 5.0
0.4874589206279956 6.0
0.4874589206279956 7.0
0.5210242143341343 8.0
0.5210242143341343 9.0
0.5210242143341343 10.0
0.5962532689558602 11.0
0.5962532689558602 12.0
0.5962532689558602 13.0
0.5962532689558602 14.0
0.6821432970210658 15.0
0.6821432970210658 16.0
0.6821432970210658 17.0
0.6894432193262331 18.0
0.7075782005120366 19.0
0.7369512809941908 20.0
0.793012160007638 21.0
0.793012160007638 22.0
0.8950908744657858 23.0
0.8950908744657858 24.0
0.8950908744657858 25.0
0.8950908744657858 26.0
0.8950908744657858 27.0
0.8950908744657858 28.0
0.8950908744657858 29.0
0.8950908744657858 30.0
0.8950908744657858 31.0
1.041190219755429 32.0
1.041190219755429 33.0
1.164956663613621 34.0
1.164956663613621 35.0
1.228720693421031 36.0
1.2314699871178587 37.0
1.2314699871178587 38.0
1.2314699871178587 39.0
1.2676695346734739 40.0
1.2676695346734739 41.0
1.2676695346734739 42.0
1.2676695346734739 43.0
1.2676695346734739 44.0
1.2676695346734739 45.0
1.2931972676167218 46.0
1.2931972676167218 47.0
1.332526748022084 48.0
1.332526748022084 49.0
1.332526748022084 50.0
1.480609147888339 51.0
1.480609147888339 52.0
1.480609147888339 53.0
1.480609147888339 54.0
1.480609147888339 55.0
1.480609147888339 56.0
1.480609147888339 57.0
1.480609147888339 58.0
2.0487854820427867 59.0
2.0487854820427867 60.0
2.0487854820427867 61.0
2.0487854820427867 62.0
2.0487854820427867 63.0
2.0487854820427867 64.0
2.0487854820427867 65.0
2.0487854820427867 66.0
2.0487854820427867 67.0
2.2573370630603797 68.0
2.286429083489822 69.0
2.286429083489822 70.0
2.6791354996536056 71.0
2.6791354996536056 72.0
2.6791354996536056 73.0
2.6791354996536056 74.0
2.6791354996536056 75.0
2.6791354996536056 76.0
2.6791354996536056 77.0
2.6791354996536056 78.0
2.6791354996536056 79.0
2.6791354996536056 80.0
2.6791354996536056 81.0
2.6791354996536056 82.0
5.737880926688753 83.0
5.737880926688753 84.0
5.737880926688753 85.0
5.737880926688753 86.0
5.737880926688753 87.0
5.964354676554661 88.0
5.964354676554661 89.0
5.964354676554661 90.0
5.964354676554661 91.0
5.964354676554661 92.0
5.964354676554661 93.0
5.964354676554661 94.0
5.964354676554661 95.0
5.964354676554661 96.0
6.397983274236512 97.0
6.397983274236512 98.0
6.397983274236512 99.0
6.397983274236512 100.0
6.397983274236512 101.0
6.397983274236512 102.0
6.397983274236512 103.0
6.397983274236512 104.0
6.397983274236512 105.0
13.57132183157343 106.0
13.57132183157343 107.0
13.57132183157343 108.0
13.57132183157343 109.0
13.57132183157343 110.0
13.57132183157343 111.0
13.57132183157343 112.0
13.57132183157343 113.0
13.57132183157343 114.0
13.57132183157343 115.0
13.57132183157343 116.0
13.57132183157343 117.0
25.874771305406362 118.0
25.874771305406362 119.0
25.874771305406362 120.0
