eV std mean
494.3203901019624 71.63093566894531 1056.649169921875
494.64401468306096 72.11814880371094 1050.422119140625
494.9676392641595 71.6355972290039 1045.177734375
495.2912638452581 70.96488189697266 1040.480224609375
495.61488842635663 69.96160125732422 1035.958251953125
495.9385130074552 69.67028045654297 1033.1058349609375
496.26213758855374 69.60676574707031 1031.377685546875
496.5857621696523 69.94609069824219 1029.526611328125
496.90938675075085 70.68035888671875 1029.4508056640625
497.2330113318494 70.82417297363281 1031.6497802734375
497.55663591294797 70.0267333984375 1032.2032470703125
497.8802604940465 70.41317749023438 1030.2496337890625
498.2038850751451 69.41429901123047 1026.5701904296875
498.52750965624364 69.93792724609375 1022.1071166992188
498.8511342373422 69.67664337158203 1017.0397338867188
499.17475881844075 69.15635681152344 1013.9285278320312
499.4983833995393 68.42213439941406 1009.38427734375
499.82200798063786 69.15065002441406 1009.1708984375
500.1456325617364 68.49776458740234 1005.43994140625
500.469257142835 68.81600952148438 1003.7238159179688
500.79288172393353 68.73894500732422 1000.739013671875
501.1165063050321 67.33248901367188 998.8910522460938
501.44013088613065 68.36196899414062 997.5548706054688
501.7637554672292 68.35906219482422 996.9722290039062
502.08738004832776 68.89131927490234 994.575439453125
502.4110046294263 68.77696228027344 993.8738403320312
502.7346292105249 68.25773620605469 993.6136474609375
503.05825379162343 68.50163269042969 991.8178100585938
503.381878372722 68.86636352539062 991.265380859375
503.70550295382054 68.70138549804688 989.4339599609375
504.0291275349191 69.22050476074219 988.717529296875
504.35275211601765 68.88566589355469 988.4238891601562
504.6763766971162 68.95365905761719 988.9451904296875
505.00000127821477 68.60733795166016 986.8407592773438
505.3236258593133 68.4021224975586 985.6192016601562
505.6472504404119 67.84803771972656 983.3697509765625
505.97087502151044 67.84933471679688 981.6219482421875
506.294499602609 67.91691589355469 980.0109252929688
506.61812418370755 67.95594787597656 979.1273803710938
506.9417487648061 68.47601318359375 978.025146484375
507.26537334590466 68.02876281738281 976.5953979492188
507.5889979270032 68.14738464355469 975.1530151367188
507.9126225081018 68.0101089477539 972.4924926757812
508.23624708920033 68.20083618164062 971.9338989257812
508.5598716702989 68.49237060546875 970.6535034179688
508.88349625139745 67.78373718261719 970.3441162109375
509.207120832496 68.2137680053711 971.009521484375
509.53074541359456 68.64527893066406 972.1102294921875
509.8543699946931 70.0143814086914 974.3257446289062
510.1779945757917 71.95523834228516 981.7264404296875
510.50161915689023 74.15668487548828 992.3927001953125
510.8252437379888 78.9463882446289 1001.7634887695312
511.14886831908734 81.69076538085938 1010.4536743164062
511.4724929001859 83.34664154052734 1012.860107421875
511.79611748128445 82.4767074584961 1013.6627807617188
512.119742062383 80.74243927001953 1011.192138671875
512.4433666434816 80.10350799560547 1009.2499389648438
512.7669912245801 79.4505386352539 1007.478515625
513.0906158056787 78.41797637939453 1005.6281127929688
513.4142403867772 77.60457611083984 1005.41357421875
513.7378649678758 77.28350830078125 1007.1044311523438
514.0614895489744 78.02948760986328 1012.283447265625
514.3851141300729 77.51673889160156 1020.810546875
514.7087387111715 78.95536041259766 1034.25244140625
515.03236329227 79.8634033203125 1051.8048095703125
515.3559878733686 79.08100128173828 1074.261474609375
515.6796124544671 79.48160552978516 1102.00927734375
516.0032370355657 78.63465118408203 1134.2991943359375
516.3268616166642 77.70494842529297 1165.15283203125
516.6504861977628 80.57001495361328 1191.125244140625
516.9741107788614 87.63477325439453 1213.6456298828125
517.2977353599599 95.56645965576172 1235.7115478515625
517.6213599410585 106.47746276855469 1256.818115234375
517.944984522157 116.15355682373047 1272.9532470703125
518.2686091032556 123.03984069824219 1284.4466552734375
518.5922336843541 126.92007446289062 1280.5357666015625
518.9158582654527 122.54950714111328 1265.8043212890625
519.2394828465513 113.9322280883789 1243.0743408203125
519.5631074276498 103.45801544189453 1217.388671875
519.8867320087484 91.36888885498047 1188.076416015625
520.2103565898469 83.2552490234375 1165.8375244140625
520.5339811709455 78.52238464355469 1144.2301025390625
520.857605752044 74.9947509765625 1129.8726806640625
521.1812303331426 75.29332733154297 1121.3021240234375
521.5048549142412 74.49211120605469 1117.18505859375
521.8284794953397 74.4170913696289 1117.179931640625
522.1521040764383 75.21539306640625 1120.2799072265625
522.4757286575368 76.30396270751953 1125.3892822265625
522.7993532386354 77.60839080810547 1132.6357421875
523.1229778197339 79.84333038330078 1141.9874267578125
523.4466024008325 84.15411376953125 1151.703857421875
523.770226981931 91.69060516357422 1160.4896240234375
524.0938515630296 98.80131530761719 1168.0076904296875
524.4174761441282 105.48138427734375 1172.1446533203125
524.7411007252267 111.24388122558594 1178.6959228515625
525.0647253063253 112.83662414550781 1180.3076171875
525.3883498874238 111.3372802734375 1179.2840576171875
525.7119744685224 108.35027313232422 1175.3740234375
526.0355990496209 104.31658935546875 1168.9112548828125
526.3592236307195 98.99897766113281 1160.9063720703125
526.682848211818 94.15778350830078 1153.608154296875
527.0064727929166 91.17633819580078 1144.764404296875
527.3300973740152 90.2716064453125 1137.8741455078125
527.6537219551137 88.71915435791016 1128.5867919921875
527.9773465362123 87.24009704589844 1119.3826904296875
528.3009711173108 83.46333312988281 1107.6268310546875
528.6245956984094 80.88428497314453 1095.827392578125
528.948220279508 76.33403015136719 1083.5068359375
529.2718448606065 74.40907287597656 1071.54833984375
529.5954694417051 73.25133514404297 1060.4114990234375
529.9190940228036 71.37818908691406 1050.2137451171875
530.2427186039022 71.34223175048828 1041.075439453125
530.5663431850007 70.9801254272461 1034.0504150390625
530.8899677660993 70.6257553100586 1026.608642578125
531.2135923471978 71.03677368164062 1022.5402221679688
