l F SNR RATIO
0.001 -975436.9230617973 24.28601342651101 0.9980676328502416
0.001193776641714437 -973143.2536488954 25.359852724747327 0.9946169772256729
0.0014251026703029977 -969844.6155845386 26.593827359934483 0.9897860593512767
0.0017012542798525892 -964626.8307094495 28.277024313233646 0.9714285714285714
0.002030917620904735 -956624.1796521216 30.136262578971774 0.9398205659075224
0.0024244620170823282 -944735.7149842809 31.747151391017997 0.9004830917874396
0.0028942661247167516 -927662.2589578587 32.59038100669088 0.8472049689440994
0.003455107294592218 -904234.4730879063 32.77769797664671 0.7757073844030365
0.004124626382901352 -868747.0265728771 32.9881551882735 0.7134575569358178
0.004923882631706742 -817926.544009972 33.15365495244413 0.6644582470669427
0.0058780160722749115 -747691.9242370278 33.113061497156934 0.6204278812974465
0.00701703828670383 -647307.4176319216 33.05786515904043 0.5946169772256729
0.008376776400682925 -503521.2346856217 33.023784558457486 0.5699102829537612
0.01 -300364.28634649306 33.03280684555798 0.5621808143547274
0.01193776641714437 -12937.067983763292 33.06080353456735 0.5508626639061421
0.014251026703029985 396766.30893590394 33.089158683651675 0.536783988957902
0.017012542798525893 974456.2986440097 33.12977209405937 0.527536231884058
0.020309176209047358 1794394.0483677865 33.150212971403185 0.5192546583850932
0.024244620170823284 2955185.3129230943 33.160649184442214 0.5108350586611456
0.028942661247167517 4590817.790855817 33.15673237086814 0.49813664596273294
0.0345510729459222 6891956.350955957 33.15773658989302 0.48378191856452724
0.04124626382901352 10123620.466505868 33.1750860591351 0.4676328502415459
0.04923882631706741 14639625.075291445 33.19593307205923 0.4492753623188406
0.05878016072274915 20914995.96333129 33.2091524911582 0.42926155969634233
0.07017038286703829 29599950.04461036 33.21296735032694 0.40634920634920635
0.0837677640068292 41520369.69080883 33.22279125730694 0.3775017253278123
0.1 57647173.1838225 33.223474086649325 0.34299516908212563
0.1193776641714437 79059938.30537714 33.20959725120379 0.3048999309868875
0.14251026703029993 107044004.05035168 33.18154442140062 0.26335403726708073
0.17012542798525893 142702599.19535005 33.12332331724384 0.22139406487232574
0.2030917620904737 187421410.38801733 33.031109564076395 0.18274672187715665
0.24244620170823283 241152055.7391627 32.893025347573975 0.14037267080745341
0.28942661247167517 304034484.2724592 32.6993786763485 0.1048999309868875
0.3455107294592222 375925588.1038997 32.43971802498351 0.0759144237405107
0.41246263829013524 457323605.29887265 32.11962727505756 0.053278122843340235
0.49238826317067413 545128577.1711193 31.743816399911417 0.035748792270531404
0.5878016072274912 637174373.5215464 31.338898325386957 0.023878536922015182
0.701703828670383 732105887.1136738 30.90794655756747 0.01601104209799862
0.8376776400682924 832153118.9682169 30.45052925039087 0.012284334023464459
1.0 952063085.0189154 29.946025910681048 0.009523809523809525
