NN_bins_0 NN_hist_0 NN_bins_1 NN_hist_1 NN_bins_2 NN_hist_2 3S_bins_0 3S_hist_0 3S_bins_1 3S_hist_1 3S_bins_2 3S_hist_2 CLS_bins_0 CLS_hist_0 CLS_bins_1 CLS_hist_1 CLS_bins_2 CLS_hist_2 ITKrMM_bins_0 ITKrMM_hist_0 ITKrMM_bins_1 ITKrMM_hist_1 ITKrMM_bins_2 ITKrMM_hist_2 wKSVD_bins_0 wKSVD_hist_0 wKSVD_bins_1 wKSVD_hist_1 wKSVD_bins_2 wKSVD_hist_2 BPFA_bins_0 BPFA_hist_0 BPFA_bins_1 BPFA_hist_1 BPFA_bins_2 BPFA_hist_2
1.2322123573436075e-07 4770.0 6.036605137719659e-07 5196.0 5.441894298868473e-07 5329.0 4.918627672537772e-08 5063.0 8.229183387410917e-07 4799.0 3.4161542546859465e-07 4206.0 2.5025198073546853e-07 3656.0 4.846591753752113e-07 3830.0 5.184038991774496e-07 4313.0 1.3700651772607508e-07 4055.0 4.743209950480882e-07 3591.0 5.401180822352255e-07 4956.0 8.577794541221627e-08 4089.0 1.0192263349712712e-06 3748.0 7.161150220603166e-07 4206.0 1.302735950242405e-07 3965.0 8.66026888919646e-07 3594.0 4.58409266497698e-07 3827.0
0.0013051965825906229 928.0 0.0012698974746664254 832.0 0.0033686457680619348 845.0 0.0009965421260700296 956.0 0.0007038562752872605 872.0 0.00118781650937035 894.0 0.0003695119255598967 1061.0 0.00034916815449415127 1123.0 0.0007267580974913505 1086.0 0.0005709734631746973 1173.0 0.0002892431646032269 1269.0 0.0011368062781666472 1131.0 0.00046977995927368233 1131.0 0.00025352506923554524 1270.0 0.0006823347817507335 1186.0 0.0004304787933222069 1144.0 0.00020618645807170757 1204.0 0.000489573702908234 1229.0
0.0026102699439455117 521.0 0.0025391912888190786 388.0 0.006736747346693982 388.0 0.0019930350658633337 471.0 0.00140688963223578 466.0 0.002375291403315231 598.0 0.0007387735991390579 618.0 0.0006978516498129273 581.0 0.0014529977910835235 622.0 0.0011418099198316684 665.0 0.0005780120082114058 693.0 0.0022730724382510593 533.0 0.0009394741406019524 647.0 0.0005060309121361192 712.0 0.0013639534484794066 634.0 0.0008608273130493896 618.0 0.0004115068892544955 733.0 0.0009786889965499703 650.0
0.0039153433053003995 322.0 0.0038084851029717317 215.0 0.01010484892532603 227.0 0.002989528005656638 255.0 0.0021099229891842993 258.0 0.003562766297260112 340.0 0.0011080352727182192 422.0 0.0010465351451317032 397.0 0.0021792374846756964 358.0 0.0017126463764886395 440.0 0.0008667808518195846 433.0 0.003409338598335471 255.0 0.0014091683219302224 417.0 0.0007585367550366932 378.0 0.00204557211520808 405.0 0.0012911758327765724 423.0 0.0006168273204372834 423.0 0.0014678042901917065 421.0
0.0052204166666552886 193.0 0.005077778917124386 130.0 0.013472950503958078 118.0 0.003986020945449942 137.0 0.0028129563461328187 186.0 0.004750241191204993 287.0 0.0014772969462973804 297.0 0.0013952186404504793 298.0 0.0029054771782678693 252.0 0.0022834828331456105 283.0 0.0011555496954277634 297.0 0.004545604758419883 144.0 0.0018788625032584926 292.0 0.0010110425979372672 287.0 0.002727190781936753 216.0 0.001721524352503755 292.0 0.0008221477516200714 336.0 0.0019569195838334426 256.0
0.006525490028010178 116.0 0.006347072731277039 92.0 0.016841052082590124 81.0 0.004982513885243246 96.0 0.003515989703081338 102.0 0.005937716085149874 188.0 0.0018465586198765417 240.0 0.0017439021357692553 213.0 0.003631716871860042 170.0 0.002854319289802582 186.0 0.0014443185390359422 237.0 0.0056818709185042955 86.0 0.0023485566845867626 190.0 0.0012635484408378412 190.0 0.0034088094486654265 167.0 0.0021518728722309376 207.0 0.0010274681828028594 213.0 0.002446034877475179 209.0
0.007830563389365065 98.0 0.007616366545429692 52.0 0.020209153661222175 70.0 0.005979006825036551 72.0 0.0042190230600298575 84.0 0.007125190979094756 161.0 0.0022158202934557027 187.0 0.0020925856310880313 151.0 0.004357956565452216 104.0 0.0034251557464595526 124.0 0.0017330873826441212 156.0 0.006818137078588707 48.0 0.0028182508659150324 136.0 0.0015160542837384151 143.0 0.004090428115394099 121.0 0.0025822213919581205 125.0 0.0012327886139856471 141.0 0.002935150171116915 159.0
0.009135636750719954 63.0 0.008885660359582347 41.0 0.02357725523985422 44.0 0.006975499764829855 31.0 0.0049220564169783765 71.0 0.008312665873039637 116.0 0.002585081967034864 152.0 0.002441269126406807 152.0 0.005084196259044388 88.0 0.003995992203116525 91.0 0.0020218562262522997 109.0 0.00795440323867312 34.0 0.0032879450472433026 80.0 0.001768560126638989 93.0 0.004772046782122772 86.0 0.003012569911685303 118.0 0.001438109045168435 117.0 0.0034242654647586514 124.0
0.010440710112074843 53.0 0.010154954173735 50.0 0.02694535681848627 32.0 0.007971992704623159 25.0 0.005625089773926896 48.0 0.009500140766984518 86.0 0.0029543436406140253 111.0 0.0027899526217255834 96.0 0.005810435952636562 62.0 0.004566828659773496 54.0 0.0023106250698604787 70.0 0.009090669398757531 18.0 0.003757639228571573 64.0 0.002021065969539563 72.0 0.0054536654488514455 54.0 0.0034429184314124857 76.0 0.001643429476351223 78.0 0.003913380758400388 87.0
0.011745783473429732 27.0 0.011424247987887652 35.0 0.030313458397118315 26.0 0.008968485644416463 27.0 0.006328123130875416 60.0 0.010687615660929399 73.0 0.0033236053141931865 84.0 0.0031386361170443597 77.0 0.006536675646228735 55.0 0.005137665116430466 40.0 0.0025993939134686577 67.0 0.010226935558841943 11.0 0.004227333409899843 49.0 0.002273571812440137 55.0 0.006135284115580119 36.0 0.0038732669511396685 55.0 0.001848749907534011 76.0 0.004402496052042124 50.0
