eV SSS FS3D NN BPFA ITKrMM wKSVD GT
511.8399990510941 1042.425433782695 1039.3990612095884 1057.1065384724586 1031.9519910123079 1022.3019783066003 1031.00118492753 1009.5110703597079
512.1639990520478 1034.6506421363065 1031.5689452873692 1049.9315565761513 1023.9509766337752 1013.940032156162 1022.3829695347918 999.5151804058
512.4879990530014 1028.4681941046167 1024.7688815049403 1044.31672518374 1016.7404953428477 1006.8824029464013 1015.2556961893258 992.1349499743518
512.8119990539551 1022.8957253961195 1018.8179449302336 1040.703577081516 1011.8954241084213 1001.5792823492076 1009.8056187674586 986.4885039176528
513.1359990549088 1019.0352353860487 1015.68724499171 1034.243862749362 1007.8974607459913 997.8248329403026 1006.2677376074649 982.4606001110411
513.4599990558625 1015.1101287799548 1013.4289554911348 1030.3183952833524 1006.8917839195021 996.1282323587272 1004.9659004951883 977.361090342815
513.7839990568161 1011.9111895967698 1010.426302003527 1024.528958664485 1003.1315619411724 992.624777490355 1001.6355747086567 975.7008992264591
514.1079990577698 1010.4149215503153 1010.2907313354465 1022.8078512225533 1002.9280891175212 992.3617708720265 1001.0919293575834 974.1988872210184
514.4319990587235 1010.1474788166439 1007.0116154857377 1025.9025664262012 999.819731446357 989.2152840164657 997.4700836443221 970.8160553932889
514.7559990596772 1013.0708549473 1009.4147454653935 1029.073391965368 1002.0319570829548 991.9962422170049 1000.0052740532362 974.4798958875174
515.0799990606308 1018.8924621963547 1012.6076206895167 1036.7702779423144 1005.403677022124 995.8433946243514 1003.2367328744582 980.3477925320142
515.4039990615845 1014.1933088728937 1006.9455830409688 1033.7537121370806 999.6062718368892 990.167555816769 997.1924533041324 973.9744371982832
515.7279990625382 1012.4101093619189 1004.3330267115831 1033.0849985036887 997.3929864612201 987.554228361045 994.9398755392438 972.2503976441456
516.0519990634918 1004.8856059540398 999.6639047362039 1026.00573857091 993.5627177073293 982.9672020989697 990.477470668319 964.3503309423389
516.3759990644455 1000.2027139107994 993.1767889428204 1021.710298700418 987.3531162562583 977.0417654048734 984.8253319171922 960.1087769285559
516.6999990653992 998.1505929529511 993.3216708715311 1016.7065477807206 986.8164256646664 977.1043794315067 984.3172193417481 960.5426396361992
517.0239990663529 998.0850127473843 991.4924925720361 1019.309437215672 985.3763688091346 975.7717912246233 982.5239613467741 958.4635285128145
517.3479990673065 994.5206294413734 990.2747575076214 1010.4331732341983 983.159469491304 973.548677820472 981.0868328958595 957.3875014731624
