CLS_std1 random_std1 CLS_mean CLS_std2 random_std2 random_mean x
34.07687362160583 32.72774069795349 34.1452639862551 34.21365435090438 32.74349963139957 32.73562016467653 2.0
34.09562720854687 33.25362992076901 34.1801816580826 34.26473610761833 33.37814196318424 33.315885941976624 3.0
34.11018476339231 33.57122922608956 34.17787352181669 34.245562280241074 33.62028747636674 33.59575835122815 4.0
34.18149008238214 33.69712266061936 34.26494722080342 34.3484043592247 33.76570651541306 33.73141458801621 5.0
34.21705499673377 33.826942573803144 34.290069612866276 34.36308422899878 33.881204811194 33.854073692498574 6.0
34.24837063735456 33.7996205265766 34.30525476152975 34.362138885704944 33.910507824703195 33.855064175639896 7.0
34.244447556837855 33.94207656844819 34.30545835847582 34.36646916011378 33.998366331836785 33.97022145014249 8.0
34.250442179774716 33.94193437004403 34.31873470773503 34.38702723569535 34.01603477368531 33.97898457186467 9.0
34.245756185739026 34.007603093043834 34.31325881862801 34.38076145151699 34.05475387379784 34.03117848342084 10.0
34.26368055699321 33.93288822717876 34.32439873974194 34.38511692249067 34.08574596176194 34.00931709447035 11.0
34.288724901960016 34.0395062436295 34.3453258016989 34.40192670143778 34.08769666301316 34.06360145332133 12.0
34.28382881173782 34.085647029008996 34.32986929237308 34.375909773008345 34.1219224435538 34.1037847362814 13.0
34.32062699852948 34.082898821266866 34.360729024735065 34.40083105094065 34.12079330186987 34.10184606156837 14.0
34.319064515928154 34.07626576990416 34.367207027129695 34.415349538331235 34.122368405525 34.09931708771458 15.0
34.30106140902531 34.10052894913711 34.35557351956648 34.410085630107645 34.14018828682459 34.12035861798085 16.0
34.32303717383331 34.09585134827584 34.378603721232935 34.434170268632556 34.16920774178227 34.13252954502906 17.0
34.331214676741546 34.13933359799669 34.375224166633494 34.41923365652544 34.16535130049092 34.152342449243804 18.0
34.32827666117731 34.15631163591956 34.37132461364257 34.41437256610783 34.17949686707974 34.16790425149965 19.0
34.33955681800535 34.13288929900464 34.382991103951404 34.42642538989746 34.18726975042801 34.16007952471632 20.0
34.319927880768105 34.139534259906405 34.36960321257594 34.41927854438377 34.185660000979034 34.16259713044272 21.0
34.29632618896552 34.16917467632702 34.34426600371532 34.392205818465115 34.19987708586409 34.18452588109555 22.0
34.32287859998957 34.169778785426686 34.37064327139099 34.418407942792406 34.195142278006145 34.182460531716416 23.0
34.34168799926229 34.18163506413596 34.383410522148324 34.42513304503436 34.22921291155059 34.205423987843275 24.0
34.33413637263113 34.19929674677626 34.382544027431706 34.43095168223228 34.21360682644458 34.20645178661042 25.0
34.351225828710575 34.18601748217329 34.39041925152646 34.429612674342344 34.22453844363273 34.20527796290301 26.0
34.32544917984232 34.210244549096466 34.36911837665487 34.41278757346741 34.225775908959115 34.21801022902779 27.0
34.349368900746164 34.20100626903945 34.39307134355629 34.43677378636641 34.22928377276078 34.21514502090012 28.0
34.335923671567365 34.227224938958656 34.3817412832627 34.42755889495803 34.237385805259336 34.232305372108996 29.0
34.34432274149483 34.235956766138095 34.385893006251706 34.427463271008584 34.2606015644643 34.2482791653012 30.0
34.35087705262833 34.25913416642874 34.39114898231891 34.43142091200949 34.26792693099229 34.26353054871051 31.0
34.34958086111788 34.24968472685224 34.386806655313634 34.42403244950939 34.268070123387275 34.258877425119756 32.0
34.33316807881298 34.24624447328495 34.37848986571568 34.423811652618376 34.27362194750881 34.25993321039688 33.0
34.35416436641923 34.251021952878986 34.39516052174292 34.43615667706661 34.27742394452227 34.26422294870063 34.0
34.350407975005766 34.25047420768123 34.391902673468906 34.433397371932045 34.2716460409217 34.261060124301466 35.0
34.36350265331283 34.254384095019994 34.39857960046246 34.433656547612095 34.264967198870075 34.259675646945034 36.0
34.339154321053016 34.24478470909208 34.377254990883465 34.415355660713914 34.274668277222325 34.2597264931572 37.0
34.369003695646896 34.279508243546054 34.40218690977351 34.43537012390013 34.29456254290982 34.28703539322794 38.0
34.36093970035116 34.27267524618125 34.405763275581876 34.45058685081259 34.28128833744961 34.27698179181543 39.0
34.365827048910845 34.260653451453024 34.403992105882104 34.44215716285336 34.288796106510276 34.27472477898165 40.0
