GT NN eV BPFA SSS ITKrMM FS3D wKSVD
979.0 1058.3960263807385 511.8399990510941 1031.7249768009851 1041.7913015750687 1022.5426765346112 1032.4172199249992 1027.83994310657
964.0 1052.4868284417757 512.1639990520478 1024.1713402223102 1034.5184512158494 1014.571992064659 1024.4249989748168 1019.5791186678642
970.0 1045.9412826469022 512.4879990530014 1017.2688745717875 1028.456375789111 1007.9945871435832 1018.1048202185826 1012.7986611840272
944.0 1044.252378070474 512.8119990539551 1013.5605590692395 1024.0167627328096 1003.9574107035079 1013.4972098513476 1008.6632888095431
940.0 1037.4285832814721 513.1359990549088 1008.4174788433256 1019.3527701970154 998.955771546446 1008.9023897956945 1003.7929300950283
982.0 1031.835859310748 513.4599990558625 1006.2802382481608 1015.20883225366 996.4950175395514 1006.8943151466569 1001.6855427475253
991.0 1027.7031233223004 513.7839990568161 1003.4630665496042 1012.3406302003431 993.4976285613676 1004.0639111246311 998.8757437053619
1022.0 1026.3821937113669 514.1079990577698 1002.9127936444461 1011.5349929740345 992.986068002483 1003.7723809096087 998.2960677610879
956.0 1026.3746592224159 514.4319990587235 1000.20374254476 1009.9071671456664 990.4969152841362 1000.9655202746635 995.310298289366
1031.0 1032.6515535068079 514.7559990596772 1001.961848155058 1013.5767383982347 992.7733990208021 1002.6014863254886 997.1875844451167
1022.0 1038.0712215389083 515.0799990606308 1005.1634375499882 1018.2647139195972 996.4944623161506 1005.7458163181973 1000.5463913218335
990.0 1039.2967626150207 515.4039990615845 999.9063341083187 1014.8072177352043 991.4045311263351 999.9888002073166 994.8969209735101
949.0 1034.3450183903258 515.7279990625382 997.7562132586949 1011.9484508926577 988.9565001297858 998.0167754545012 992.8448043814789
944.0 1029.0086545204504 516.0519990634918 993.4513485197544 1006.0767511721087 984.1600295721668 993.2779605737221 988.0286786024958
962.0 1026.2709296533492 516.3759990644455 987.8780062984597 1001.3749797953816 978.679114437241 987.3811841518686 982.7128655741607
1045.0 1019.7518312619023 516.6999990653992 986.5516857765339 998.6054472104195 977.7236801008462 986.519566190058 981.5588757010948
975.0 1019.5929186030115 517.0239990663529 984.5020744324557 997.3769644714114 975.955907362988 984.4350314350743 979.5280900195797
1022.0 1012.0671577161443 517.3479990673065 983.3529724611923 993.7744075636598 974.149029673777 983.4621244071739 978.4448784473503
977.0 1006.9784545131229 517.6719990682602 981.3910911440049 990.7062160249807 971.843255285784 981.3320707379626 976.5463801173726
963.0 1003.4097035011143 517.9959990692139 977.7309816046356 986.1789629237803 968.1473101083427 977.6704381105835 972.7903673971887
901.0 1000.063991259438 518.3199990701676 974.3457943642737 983.903885534032 964.8809819793212 974.5206548798803 969.4999266200138
906.0 1001.1613286076202 518.6439990711212 972.9645052444961 982.370976925576 963.676102079409 972.5388196411284 967.9622472715447
936.0 996.0768469926011 518.9679990720749 970.0368782081568 979.5000288056199 960.5810760596542 970.0917109564485 965.144379653672
848.0 996.0561482450373 519.2919990730286 968.8745481818465 978.3812303861984 959.3857943075402 969.0459335930684 964.1620612088087
888.0 995.9756494927044 519.6159990739823 967.2676993099292 976.6360841145056 957.3680777572149 966.9613039214212 962.0484007721668
892.0 998.1074147800975 519.9399990749359 965.822893454158 977.594780319628 956.6920226428684 965.9902517202405 961.0934426903822
910.0 994.0704926957989 520.2639990758896 967.4030195142311 976.9729207243239 958.0266717316281 967.5621853729708 962.5367196015382
894.0 993.35642723684 520.5879990768433 967.7131615182933 975.4347826434964 957.5224328101419 967.3136642166191 962.2788380385365
903.0 997.6425893912711 520.911999077797 966.4429223896298 975.8304618192875 956.6636837375574 965.34564616875 960.784344522487
824.0 991.8764562819802 521.2359990787506 964.2875302947521 971.5684003511672 953.9122750075389 963.0431069354183 958.3592886165776
875.0 996.5133493654575 521.5599990797043 961.9942748485577 971.9038600705079 951.8984338716804 960.6466271538941 955.9699706676388
974.0 996.1796067369115 521.883999080658 961.3629494096514 971.5141407371493 951.4184674133564 959.8297150042567 955.2798203543812
901.0 997.3129987466534 522.2079990816117 962.1114937567531 972.3908002381021 952.3543320262444 960.66956681881 956.0805425278379
963.0 995.9039720629996 522.5319990825653 960.8085868603933 969.6369630832679 950.8805366445702 958.9528607336382 954.3650114480585
