SNR Mean Sup Low
19.0000000000 23.9918858521 21.6177545187 29.6379083267
21.0000000000 28.1343866241 27.5144262023 28.8578236044
23.0000000000 28.7704579353 27.0572662576 31.6406622830
25.0000000000 29.7864917343 28.8308682996 31.0135099113
27.0000000000 27.9047335081 27.8975978333 27.9118806580
29.0000000000 28.8475664728 28.8423317045 28.8528078919
