SNR Mean Sup Low
19.0000000000 35.0879313873 35.0289583934 35.1477162141
21.0000000000 35.3065906590 35.2882568169 35.3250022260
23.0000000000 35.5380935049 35.5193260911 35.5569439328
25.0000000000 35.7364117510 35.7256793764 35.7471723445
27.0000000000 35.8746100104 35.8602467076 35.8890226596
29.0000000000 35.9759399147 35.9614283325 35.9905001487
