SNR Mean Sup Low
19.0000000000 28.0193739611 24.8968579016 34.8676774607
21.0000000000 27.1068328023 24.0592367143 34.7390766854
23.0000000000 30.7791587207 29.3241049605 32.9831521148
25.0000000000 33.0364500940 32.8780005964 33.2009001344
27.0000000000 31.3580852774 29.6894489217 34.1027675969
29.0000000000 34.7987269549 34.6661196262 34.9355111833
