SNR Mean Sup Low
19.0000000000 0.0012224620 0.0013403831 0.0011045410
21.0000000000 0.0011447368 0.0013882078 0.0009012658
23.0000000000 0.0008445761 0.0008946618 0.0007944904
25.0000000000 0.0006802453 0.0007014732 0.0006590175
27.0000000000 0.0011502482 0.0013446166 0.0009558798
29.0000000000 0.0004419364 0.0004520551 0.0004318178
