SNR Mean Sup Low
19.0000000000 29.1276463196 28.7277105653 29.5681815870
21.0000000000 29.4129435564 28.5754551973 30.4514710863
23.0000000000 30.7336121250 30.4834110564 30.9991134610
25.0000000000 31.6733445020 31.5398891667 31.8110305270
27.0000000000 29.3920843768 28.7140153145 30.1959671597
29.0000000000 33.5464022639 33.4480862676 33.6469945954
