SNR Mean Sup Low
19.0000000000 40.1564508853 40.1399275923 40.1730327639
21.0000000000 40.8139151341 40.7801975996 40.8478964928
23.0000000000 41.3267867653 41.2995210454 41.3542247460
25.0000000000 41.7388371443 41.7140905480 41.7637255581
27.0000000000 42.0266873961 42.0163253229 42.0370811941
29.0000000000 42.2641100648 42.2554143073 42.2728305979
