x   y   c
0.0003162278 0.0031622777 -2.2954722064
0.0003162278 0.0056234133 -2.2298720863
0.0003162278 0.0100000000 -2.1749258979
0.0003162278 0.0177827941 -1.8206234065
0.0003162278 0.0316227766 -1.2415972061
0.0003162278 0.0562341325 -0.0873604708
0.0003162278 0.1000000000 -0.5077977979
0.0003162278 0.1778279410 -0.3393647556
0.0003162278 0.3162277660 -0.2360270597
0.0003162278 0.5623413252 -0.1765457096
0.0003162278 1.0000000000 -0.1420100570
0.0003162278 1.7782794100 -0.1211797936
0.0003162278 3.1622776602 -0.1102849816
0.0003162278 5.6234132519 -0.1045375053
0.0003162278 10.0000000000 -0.1014141984
0.0003162278 17.7827941004 -0.0990596220
0.0003162278 31.6227766017 -0.0962230212
0.0003162278 56.2341325190 -0.0922796919
0.0003162278 100.0000000000 -0.0815267299
0.0003162278 177.8279410039 -0.0502183262
0.0003162278 316.2277660168 0.0000000000
0.0003162278 562.3413251903 0.0000000000
0.0003162278 1000.0000000000 0.0000000000
0.0005623413 0.0000100000 -2.6992255442
0.0005623413 0.0000177828 -2.7024767495
0.0005623413 0.0000316228 -2.7082072202
0.0005623413 0.0000562341 -2.7168502854
0.0005623413 0.0001000000 -2.7295701895
0.0005623413 0.0001778279 -2.7452534821
0.0005623413 0.0003162278 -2.7510047775
0.0005623413 0.0005623413 -2.7301666417
0.0005623413 0.0010000000 -2.7257594030
0.0005623413 0.0017782794 -2.6743850486
0.0005623413 0.0031622777 -2.4639446110
0.0005623413 0.0056234133 -2.3270963605
0.0005623413 0.0100000000 -2.2954052086
0.0005623413 0.0177827941 -2.2145036144
0.0005623413 0.0316227766 -1.7461859067
0.0005623413 0.0562341325 -1.1489905883
0.0005623413 0.1000000000 -0.7397267980
0.0005623413 0.1778279410 -0.0721415732
0.0005623413 0.3162277660 -0.3189568553
0.0005623413 0.5623413252 -0.2279968557
0.0005623413 1.0000000000 -0.1727374966
0.0005623413 1.7782794100 -0.1379388286
0.0005623413 3.1622776602 -0.1207694671
0.0005623413 5.6234132519 -0.1106455176
0.0005623413 10.0000000000 -0.1050048158
0.0005623413 17.7827941004 -0.1010988142
0.0005623413 31.6227766017 -0.0972558982
0.0005623413 56.2341325190 -0.0927407108
0.0005623413 100.0000000000 -0.0816564396
0.0005623413 177.8279410039 -0.0502090304
0.0005623413 316.2277660168 0.0000000000
0.0005623413 562.3413251903 0.0000000000
0.0005623413 1000.0000000000 0.0000000000
0.0010000000 0.0000100000 -2.7405835431
0.0010000000 0.0000177828 -2.7429177185
0.0010000000 0.0000316228 -2.7459825555
0.0010000000 0.0000562341 -2.7514196521
0.0010000000 0.0001000000 -2.7507466953
0.0010000000 0.0001778279 -2.7644811068
0.0010000000 0.0003162278 -2.7834089951
0.0010000000 0.0005623413 -2.8010409669
0.0010000000 0.0010000000 -2.7844614415
0.0010000000 0.0017782794 -2.7700493205
0.0010000000 0.0031622777 -2.7095616272
0.0010000000 0.0056234133 -2.4694790073
0.0010000000 0.0100000000 -2.3748684232
0.0010000000 0.0177827941 -2.3632789396
0.0010000000 0.0316227766 -2.2358809589
0.0010000000 0.0562341325 -1.6566356363
0.0010000000 0.1000000000 -1.0772229906
0.0010000000 0.1778279410 -0.6739116642
0.0010000000 0.3162277660 -0.4426887924
0.0010000000 0.5623413252 -0.2995234409
0.0010000000 1.0000000000 -0.2169128007
0.0010000000 1.7782794100 -0.1627635413
0.0010000000 3.1622776602 -0.1366904961
0.0010000000 5.6234132519 -0.1211996670
0.0010000000 10.0000000000 -0.1112585914
0.0010000000 17.7827941004 -0.1046701132
0.0010000000 31.6227766017 -0.0990721373
0.0010000000 56.2341325190 -0.0935533944
0.0010000000 100.0000000000 -0.0818853262
0.0010000000 177.8279410039 -0.0501924274
0.0010000000 316.2277660168 0.0000000000
0.0010000000 562.3413251903 0.0000000000
0.0010000000 1000.0000000000 0.0000000000
0.0017782794 0.0000100000 -2.7611247948
0.0017782794 0.0000177828 -2.7623188341
0.0017782794 0.0000316228 -2.7647570512
0.0017782794 0.0000562341 -2.7683598195
0.0017782794 0.0001000000 -2.7743842404
0.0017782794 0.0001778279 -2.7838611264
0.0017782794 0.0003162278 -2.7980168333
0.0017782794 0.0005623413 -2.8195172067
0.0017782794 0.0010000000 -2.8431781648
0.0017782794 0.0017782794 -2.8273083766
0.0017782794 0.0031622777 -2.8061480369
0.0017782794 0.0056234133 -2.7156736718
0.0017782794 0.0100000000 -2.4729210185
0.0017782794 0.0177827941 -2.4335827668
0.0017782794 0.0316227766 -2.4110942273
0.0017782794 0.0562341325 -2.1694223433
0.0017782794 0.1000000000 -1.4970374781
0.0017782794 0.1778279410 -0.9718577301
0.0017782794 0.3162277660 -0.6359592893
0.0017782794 0.5623413252 -0.1297686165
0.0017782794 1.0000000000 -0.2833171864
0.0017782794 1.7782794100 -0.2091807024
0.0017782794 3.1622776602 -0.1655504409
0.0017782794 5.6234132519 -0.1391279349
0.0017782794 10.0000000000 -0.1220023895
0.0017782794 17.7827941004 -0.1108578895
0.0017782794 31.6227766017 -0.1022395577
0.0017782794 56.2341325190 -0.0949765611
0.0017782794 100.0000000000 -0.0822868298
0.0017782794 177.8279410039 -0.0501626836
0.0017782794 316.2277660168 0.0000000000
0.0017782794 562.3413251903 0.0000000000
0.0017782794 1000.0000000000 0.0000000000
0.0031622777 0.0000100000 -2.7822641536
0.0031622777 0.0000177828 -2.7832573760
0.0031622777 0.0000316228 -2.7844976172
0.0031622777 0.0000562341 -2.7870496757
0.0031622777 0.0001000000 -2.7913023544
0.0031622777 0.0001778279 -2.7986606682
0.0031622777 0.0003162278 -2.8095922899
0.0031622777 0.0005623413 -2.8283088299
0.0031622777 0.0010000000 -2.8550078646
0.0031622777 0.0017782794 -2.8828388692
0.0031622777 0.0031622777 -2.8579848739
0.0031622777 0.0056234133 -2.8335555664
0.0031622777 0.0100000000 -2.7056211201
0.0031622777 0.0177827941 -2.5046088654
0.0031622777 0.0316227766 -2.4947467635
0.0031622777 0.0562341325 -2.4424141147
0.0031622777 0.1000000000 -2.0707664324
0.0031622777 0.1778279410 -1.3972195518
0.0031622777 0.3162277660 -0.9582433949
0.0031622777 0.5623413252 -0.6658020761
0.0031622777 1.0000000000 -0.4422137335
0.0031622777 1.7782794100 -0.2917576007
0.0031622777 3.1622776602 -0.2129616316
0.0031622777 5.6234132519 -0.1650514643
0.0031622777 10.0000000000 -0.1373410523
0.0031622777 17.7827941004 -0.1041681494
0.0031622777 31.6227766017 -0.1076876960
0.0031622777 56.2341325190 -0.0974407015
0.0031622777 100.0000000000 -0.0829838300
0.0031622777 177.8279410039 -0.0501091540
0.0031622777 316.2277660168 0.0000000000
0.0031622777 562.3413251903 0.0000000000
0.0031622777 1000.0000000000 0.0000000000
0.0056234133 0.0000100000 -2.8045156196
0.0056234133 0.0000177828 -2.8051127567
0.0056234133 0.0000316228 -2.8061697269
0.0056234133 0.0000562341 -2.8080339266
0.0056234133 0.0001000000 -2.8107239308
0.0056234133 0.0001778279 -2.8151525884
0.0056234133 0.0003162278 -2.8234454436
0.0056234133 0.0005623413 -2.8370426015
0.0056234133 0.0010000000 -2.8571692839
0.0056234133 0.0017782794 -2.8898406855
0.0056234133 0.0031622777 -2.9157830112
0.0056234133 0.0056234133 -2.8850972542
0.0056234133 0.0100000000 -2.8555646105
0.0056234133 0.0177827941 -2.6777895204
0.0056234133 0.0316227766 -2.5611789961
0.0056234133 0.0562341325 -2.5401723896
0.0056234133 0.1000000000 -2.4512025607
0.0056234133 0.1778279410 -1.8682584782
0.0056234133 0.3162277660 -1.3589099705
0.0056234133 0.5623413252 -1.0082708207
0.0056234133 1.0000000000 -0.6982854381
0.0056234133 1.7782794100 -0.4615836075
0.0056234133 3.1622776602 -0.3058018351
0.0056234133 5.6234132519 -0.2110823670
0.0056234133 10.0000000000 -0.1654064167
0.0056234133 17.7827941004 -0.1361249981
0.0056234133 31.6227766017 -0.1168546525
0.0056234133 56.2341325190 -0.1016269377
0.0056234133 100.0000000000 -0.0841720879
0.0056234133 177.8279410039 -0.0500122209
0.0056234133 316.2277660168 0.0000000000
0.0056234133 562.3413251903 0.0000000000
0.0056234133 1000.0000000000 0.0000000000
0.0100000000 0.0000100000 -2.8286230611
0.0100000000 0.0000177828 -2.8289837421
0.0100000000 0.0000316228 -2.8296234194
