x   y   c
0.0005623413 0.1000000000 7.3972679800
0.0005623413 0.1778279410 0.7214157320
0.0005623413 0.3162277660 3.1895685530
0.0005623413 0.5623413252 2.2799685570
0.0005623413 1.0000000000 1.7273749660
0.0005623413 1.7782794100 1.3793882860
0.0005623413 3.1622776602 1.2076946710
0.0005623413 5.6234132519 1.1064551760
0.0005623413 10.0000000000 1.0500481580
0.0005623413 17.7827941004 1.0109881420
0.0005623413 31.6227766017 0.9725589820
0.0005623413 56.2341325190 0.9274071080
0.0005623413 100.0000000000 0.8165643960
0.0005623413 177.8279410039 0.5020903040
0.0005623413 316.2277660168 -0.0000000000
0.0005623413 562.3413251903 -0.0000000000
0.0005623413 1000.0000000000 -0.0000000000
0.0010000000 0.0000100000 27.4058354310
0.0010000000 0.0000177828 27.4291771850
0.0010000000 0.0000316228 27.4598255550
0.0010000000 0.0000562341 27.5141965210
0.0010000000 0.0001000000 27.5074669530
0.0010000000 0.0001778279 27.6448110680
0.0010000000 0.0003162278 27.8340899510
0.0010000000 0.0005623413 28.0104096690
0.0010000000 0.0010000000 27.8446144150
0.0010000000 0.0017782794 27.7004932050
0.0010000000 0.0031622777 27.0956162720
0.0010000000 0.0056234133 24.6947900730
0.0010000000 0.0100000000 23.7486842320
0.0010000000 0.0177827941 23.6327893960
0.0010000000 0.0316227766 22.3588095890
0.0010000000 0.0562341325 16.5663563630
0.0010000000 0.1000000000 10.7722299060
0.0010000000 0.1778279410 6.7391166420
0.0010000000 0.3162277660 4.4268879240
0.0010000000 0.5623413252 2.9952344090
0.0010000000 1.0000000000 2.1691280070
0.0010000000 1.7782794100 1.6276354130
0.0010000000 3.1622776602 1.3669049610
0.0010000000 5.6234132519 1.2119966700
0.0010000000 10.0000000000 1.1125859140
0.0010000000 17.7827941004 1.0467011320
0.0010000000 31.6227766017 0.9907213730
0.0010000000 56.2341325190 0.9355339440
0.0010000000 100.0000000000 0.8188532620
0.0010000000 177.8279410039 0.5019242740
0.0010000000 316.2277660168 -0.0000000000
0.0010000000 562.3413251903 -0.0000000000
0.0010000000 1000.0000000000 -0.0000000000
0.0017782794 0.0000100000 27.6112479480
0.0017782794 0.0000177828 27.6231883410
0.0017782794 0.0000316228 27.6475705120
0.0017782794 0.0000562341 27.6835981950
0.0017782794 0.0001000000 27.7438424040
0.0017782794 0.0001778279 27.8386112640
0.0017782794 0.0003162278 27.9801683330
0.0017782794 0.0005623413 28.1951720670
0.0017782794 0.0010000000 28.4317816480
0.0017782794 0.0017782794 28.2730837660
0.0017782794 0.0031622777 28.0614803690
0.0017782794 0.0056234133 27.1567367180
0.0017782794 0.0100000000 24.7292101850
0.0017782794 0.0177827941 24.3358276680
0.0017782794 0.0316227766 24.1109422730
0.0017782794 0.0562341325 21.6942234330
0.0017782794 0.1000000000 14.9703747810
0.0017782794 0.1778279410 9.7185773010
0.0017782794 0.3162277660 6.3595928930
0.0017782794 0.5623413252 1.2976861650
0.0017782794 1.0000000000 2.8331718640
0.0017782794 1.7782794100 2.0918070240
0.0017782794 3.1622776602 1.6555044090
0.0017782794 5.6234132519 1.3912793490
0.0017782794 10.0000000000 1.2200238950
0.0017782794 17.7827941004 1.1085788950
0.0017782794 31.6227766017 1.0223955770
0.0017782794 56.2341325190 0.9497656110
0.0017782794 100.0000000000 0.8228682980
0.0017782794 177.8279410039 0.5016268360
0.0017782794 316.2277660168 -0.0000000000
0.0017782794 562.3413251903 -0.0000000000
0.0017782794 1000.0000000000 -0.0000000000
0.0031622777 0.0000100000 27.8226415360
0.0031622777 0.0000177828 27.8325737600
0.0031622777 0.0000316228 27.8449761720
0.0031622777 0.0000562341 27.8704967570
0.0031622777 0.0001000000 27.9130235440
0.0031622777 0.0001778279 27.9866066820
0.0031622777 0.0003162278 28.0959228990
0.0031622777 0.0005623413 28.2830882990
0.0031622777 0.0010000000 28.5500786460
0.0031622777 0.0017782794 28.8283886920
0.0031622777 0.0031622777 28.5798487390
0.0031622777 0.0056234133 28.3355556640
0.0031622777 0.0100000000 27.0562112010
0.0031622777 0.0177827941 25.0460886540
0.0031622777 0.0316227766 24.9474676350
0.0031622777 0.0562341325 24.4241411470
0.0031622777 0.1000000000 20.7076643240
0.0031622777 0.1778279410 13.9721955180
0.0031622777 0.3162277660 9.5824339490
0.0031622777 0.5623413252 6.6580207610
0.0031622777 1.0000000000 4.4221373350
0.0031622777 1.7782794100 2.9175760070
0.0031622777 3.1622776602 2.1296163160
0.0031622777 5.6234132519 1.6505146430
0.0031622777 10.0000000000 1.3734105230
0.0031622777 17.7827941004 1.0416814940
0.0031622777 31.6227766017 1.0768769600
0.0031622777 56.2341325190 0.9744070150
0.0031622777 100.0000000000 0.8298383000
0.0031622777 177.8279410039 0.5010915400
0.0031622777 316.2277660168 -0.0000000000
0.0031622777 562.3413251903 -0.0000000000
0.0031622777 1000.0000000000 -0.0000000000
0.0056234133 0.0000100000 28.0451561960
0.0056234133 0.0000177828 28.0511275670
0.0056234133 0.0000316228 28.0616972690
0.0056234133 0.0000562341 28.0803392660
0.0056234133 0.0001000000 28.1072393080
0.0056234133 0.0001778279 28.1515258840
0.0056234133 0.0003162278 28.2344544360
0.0056234133 0.0005623413 28.3704260150
0.0056234133 0.0010000000 28.5716928390
0.0056234133 0.0017782794 28.8984068550
0.0056234133 0.0031622777 29.1578301120
0.0056234133 0.0056234133 28.8509725420
0.0056234133 0.0100000000 28.5556461050
0.0056234133 0.0177827941 26.7778952040
0.0056234133 0.0316227766 25.6117899610
0.0056234133 0.0562341325 25.4017238960
0.0056234133 0.1000000000 24.5120256070
0.0056234133 0.1778279410 18.6825847820
0.0056234133 0.3162277660 13.5890997050
0.0056234133 0.5623413252 10.0827082070
0.0056234133 1.0000000000 6.9828543810
0.0056234133 1.7782794100 4.6158360750
0.0056234133 3.1622776602 3.0580183510
0.0056234133 5.6234132519 2.1108236700
0.0056234133 10.0000000000 1.6540641670
0.0056234133 17.7827941004 1.3612499810
0.0056234133 31.6227766017 1.1685465250
0.0056234133 56.2341325190 1.0162693770
0.0056234133 100.0000000000 0.8417208790
0.0056234133 177.8279410039 0.5001222090
0.0056234133 316.2277660168 -0.0000000000
0.0056234133 562.3413251903 -0.0000000000
0.0056234133 1000.0000000000 -0.0000000000
0.0100000000 0.0000100000 28.2862306110
0.0100000000 0.0000177828 28.2898374210
0.0100000000 0.0000316228 28.2962341940
0.0100000000 0.0000562341 28.3075554250
0.0100000000 0.0001000000 28.3275180680
0.0100000000 0.0001778279 28.3557846870
0.0100000000 0.0003162278 28.4091800830
0.0100000000 0.0005623413 28.5044761320
0.0100000000 0.0010000000 28.6563614630
0.0100000000 0.0017782794 28.8900486870
0.0100000000 0.0031622777 29.2417732050
0.0100000000 0.0056234133 29.5043171140
0.0100000000 0.0100000000 29.1236815820
0.0100000000 0.0177827941 28.7490390700
0.0100000000 0.0316227766 26.5017534610
0.0100000000 0.0562341325 26.2240435600
0.0100000000 0.1000000000 25.7332899640
0.0100000000 0.1778279410 23.8947892750
0.0100000000 0.3162277660 17.9347151590
0.0100000000 0.5623413252 14.0527218470
0.0100000000 1.0000000000 10.4121439700
0.0100000000 1.7782794100 7.1318474750
0.0100000000 3.1622776602 4.6395328210
0.0100000000 5.6234132519 3.0379425300
0.0100000000 10.0000000000 2.1000170340
0.0100000000 17.7827941004 1.6261572910
0.0100000000 31.6227766017 1.3177798340
0.0100000000 56.2341325190 1.0852389860
0.0100000000 100.0000000000 0.8613595720
0.0100000000 177.8279410039 0.4983553310
0.0100000000 316.2277660168 -0.0000000000
0.0100000000 562.3413251903 -0.0000000000
0.0100000000 1000.0000000000 -0.0000000000
0.0177827941 0.0000100000 28.5527799530
0.0177827941 0.0000177828 28.5549858400
0.0177827941 0.0000316228 28.5589023960
0.0177827941 0.0000562341 28.5658477900
0.0177827941 0.0001000000 28.5781376940
0.0177827941 0.0001778279 28.5998011030
0.0177827941 0.0003162278 28.6377272680
0.0177827941 0.0005623413 28.6955999060
0.0177827941 0.0010000000 28.7982257550
0.0177827941 0.0017782794 28.9713427170
0.0177827941 0.0031622777 29.2345330940
0.0177827941 0.0056234133 29.6181611590
0.0177827941 0.0100000000 29.8727728130
0.0177827941 0.0177827941 29.5009849260
0.0177827941 0.0316227766 29.0488536410
0.0177827941 0.0562341325 26.8381263650
0.0177827941 0.1000000000 26.6848280360
0.0177827941 0.1778279410 25.8470001600
0.0177827941 0.3162277660 22.8758522030
0.0177827941 0.5623413252 18.2704672500
0.0177827941 1.0000000000 14.5847428310
0.0177827941 1.7782794100 10.6367757530
0.0177827941 3.1622776602 7.2793343840
0.0177827941 5.6234132519 4.5862314690
0.0177827941 10.0000000000 3.0059695190
0.0177827941 17.7827941004 2.0332453920
0.0177827941 31.6227766017 1.5497792760
0.0177827941 56.2341325190 1.1936242950
0.0177827941 100.0000000000 0.8921652180
0.0177827941 177.8279410039 0.4951199920
0.0177827941 316.2277660168 -0.0000000000
0.0177827941 562.3413251903 -0.0000000000
0.0177827941 1000.0000000000 -0.0000000000
0.0316227766 0.0000100000 28.8622259990
0.0316227766 0.0000177828 28.8636009810
0.0316227766 0.0000316228 28.8660438980
0.0316227766 0.0000562341 28.8703811830
0.0316227766 0.0001000000 28.8780723060
0.0316227766 0.0001778279 28.8916806830
0.0316227766 0.0003162278 28.9156650630
0.0316227766 0.0005623413 28.9576473510
0.0316227766 0.0010000000 29.0224824270
0.0316227766 0.0017782794 29.1363362270
0.0316227766 0.0031622777 29.3273175820
0.0316227766 0.0056234133 29.6471322340
0.0316227766 0.0100000000 30.0572325110
0.0316227766 0.0177827941 29.7460558000
0.0316227766 0.0316227766 30.0127741140
0.0316227766 0.0562341325 29.4248944160
0.0316227766 0.1000000000 27.4990372290
0.0316227766 0.1778279410 27.0488837430
0.0316227766 0.3162277660 25.4108145560
0.0316227766 0.5623413252 21.7944287940
0.0316227766 1.0000000000 18.2231953010
0.0316227766 1.7782794100 14.6092151710
0.0316227766 3.1622776602 10.5476938280
0.0316227766 5.6234132519 7.0839793530
0.0316227766 10.0000000000 4.4644596660
0.0316227766 17.7827941004 2.8537172930
0.0316227766 31.6227766017 1.8883894380
0.0316227766 56.2341325190 1.3523932990
0.0316227766 100.0000000000 0.9364398780
0.0316227766 177.8279410039 0.4891747840
0.0316227766 316.2277660168 -0.0000000000
0.0316227766 562.3413251903 -0.0000000000
0.0316227766 1000.0000000000 -0.0000000000
0.0562341325 0.0000100000 29.2264861080
0.0562341325 0.0000177828 29.2273696510
0.0562341325 0.0000316228 29.2289400790
0.0562341325 0.0000562341 29.2317303440
0.0562341325 0.0001000000 29.2366846560
0.0562341325 0.0001778279 29.2454709910
0.0562341325 0.0003162278 29.2610207280
0.0562341325 0.0005623413 29.2813666750
0.0562341325 0.0010000000 29.3295084690
0.0562341325 0.0017782794 29.4128353280
0.0562341325 0.0031622777 29.5453802710
0.0562341325 0.0056234133 29.7791161490
0.0562341325 0.0100000000 30.1301896490
0.0562341325 0.0177827941 30.5782525590
0.0562341325 0.0316227766 30.3749941200
0.0562341325 0.0562341325 30.6067084270
0.0562341325 0.1000000000 30.1221664720
0.0562341325 0.1778279410 27.9834495500
0.0562341325 0.3162277660 27.1348032530
0.0562341325 0.5623413252 25.0270106490
0.0562341325 1.0000000000 22.1816954710
0.0562341325 1.7782794100 18.0755860370
0.0562341325 3.1622776602 14.1289118970
0.0562341325 5.6234132519 10.1512484870
0.0562341325 10.0000000000 6.6974041910
0.0562341325 17.7827941004 4.1005881130
0.0562341325 31.6227766017 2.4487652360
0.0562341325 56.2341325190 1.5609734770
0.0562341325 100.0000000000 0.9908584570
0.0562341325 177.8279410039 0.4780809140
0.0562341325 316.2277660168 -0.0000000000
0.0562341325 562.3413251903 -0.0000000000
0.0562341325 1000.0000000000 -0.0000000000
0.1000000000 0.0000100000 29.6451975980
0.1000000000 0.0000177828 29.6457879990
0.1000000000 0.0000316228 29.6468376400
0.1000000000 0.0000562341 29.6487033830
0.1000000000 0.0001000000 29.6520186340
0.1000000000 0.0001778279 29.6579059990
0.1000000000 0.0003162278 29.6683499520
0.1000000000 0.0005623413 29.6868425000
0.1000000000 0.0010000000 29.7121155130
0.1000000000 0.0017782794 29.7693523960
0.1000000000 0.0031622777 29.8686889250
0.1000000000 0.0056234133 30.0382142370
0.1000000000 0.0100000000 30.3180284420
0.1000000000 0.0177827941 30.7292450060
0.1000000000 0.0316227766 31.2146453240
0.1000000000 0.0562341325 31.1588877560
0.1000000000 0.1000000000 31.3146740480
0.1000000000 0.1778279410 28.6596729280
0.1000000000 0.3162277660 28.1743194400
0.1000000000 0.5623413252 26.7510622390
0.1000000000 1.0000000000 24.0129033770
0.1000000000 1.7782794100 21.9289040310
0.1000000000 3.1622776602 18.0907881170
0.1000000000 5.6234132519 13.7081486090
0.1000000000 10.0000000000 9.4369107710
0.1000000000 17.7827941004 5.8781502870
0.1000000000 31.6227766017 3.3321838730
0.1000000000 56.2341325190 1.8800036130
0.1000000000 100.0000000000 1.0754678810
0.1000000000 177.8279410039 0.4568298420
0.1000000000 316.2277660168 -0.0000000000
0.1000000000 562.3413251903 -0.0000000000
0.1000000000 1000.0000000000 -0.0000000000
0.1778279410 0.0000100000 30.0716144690
0.1778279410 0.0000177828 30.0720190000
0.1778279410 0.0000316228 30.0727382780
0.1778279410 0.0000562341 30.0740170690
0.1778279410 0.0001000000 30.0762902100
0.1778279410 0.0001778279 30.0803296210
0.1778279410 0.0003162278 30.0875037530
0.1778279410 0.0005623413 30.1002326770
0.1778279410 0.0010000000 30.1227774690
0.1778279410 0.0017782794 30.1625804090
