SNR SNR_F aSAD aSAD_F SSIM SSIM_F time time_F pix
30.697230916574078 29.354589292793417 0.015312397600804991 0.020190210759560165 0.6534145181157778 0.5428908595624995 0.8260631561279297 170.68257999420166 0.1
33.22893247660603 31.338125117982543 0.012516878672424694 0.017769546874699487 0.7941208642182702 0.6763873993569756 0.39821910858154297 121.10813736915588 0.2
34.76386561894428 31.969017869961412 0.010617598162921757 0.01765900022555867 0.8417554499751586 0.7072897686859185 0.5729072093963623 80.49107813835144 0.30000000000000004
36.00459642899916 32.92541310115208 0.009536118125908604 0.016123656712120082 0.8821782205479545 0.7475017965913477 0.5218758583068848 85.34143495559692 0.4
36.80404458073844 33.35036997712548 0.008904668728745645 0.01571659820698588 0.9053800684556221 0.7655899377446653 0.2523689270019531 74.17250275611877 0.5
38.29697206824519 33.58234286155214 0.007660138995348196 0.01584077389262399 0.9293907291777459 0.7727560484539037 0.6138997077941895 52.0850784778595 0.6
39.1884135533573 34.0795588693789 0.007111030055284996 0.015133210579098484 0.9444732628560966 0.7847880300877043 0.21973013877868652 52.16105532646179 0.7000000000000001
40.94435547886951 34.334585621505 0.005975720547829018 0.014835105825963292 0.960671579731148 0.7932858255926316 0.3363687992095947 45.08407926559448 0.8
42.631440926463604 34.5479893156717 0.005189197917639916 0.01456521437894724 0.9730165011256934 0.8009431793262257 0.24103212356567383 30.528711318969727 0.9
45.18685495858867 34.76049999894069 0.004379662205358489 0.014357010552980682 0.9851694901337952 0.8071371308838482 0.006466388702392578 2.37532901763916 1.0
